scale,fold_count,replica_indices,weight,expectation,shots,p0,p1,circuit_name
1,0,0-0,0.019444872453601072,0.948,500,0.974,0.026,replica_s1_e0_e0
1,0,0-1,0.12000000000000001,0.008,500,0.504,0.496,replica_s1_e0_e1
1,0,1-0,0.12000000000000001,0.024,500,0.512,0.488,replica_s1_e1_e0
1,0,1-1,0.740555127546399,0.968,500,0.984,0.016,replica_s1_e1_e1
3,1,0-0,0.019444872453601072,0.692,500,0.846,0.154,replica_s3_e0_e0
3,1,0-1,0.12000000000000001,0.024,500,0.512,0.488,replica_s3_e0_e1
3,1,1-0,0.12000000000000001,0.044,500,0.522,0.478,replica_s3_e1_e0
3,1,1-1,0.740555127546399,0.788,500,0.894,0.106,replica_s3_e1_e1
5,2,0-0,0.019444872453601072,0.744,500,0.872,0.128,replica_s5_e0_e0
5,2,0-1,0.12000000000000001,0.092,500,0.546,0.454,replica_s5_e0_e1
5,2,1-0,0.12000000000000001,-0.02,500,0.49,0.51,replica_s5_e1_e0
5,2,1-1,0.740555127546399,0.632,500,0.816,0.184,replica_s5_e1_e1
7,3,0-0,0.019444872453601072,0.608,500,0.804,0.196,replica_s7_e0_e0
7,3,0-1,0.12000000000000001,0.088,500,0.544,0.456,replica_s7_e0_e1
7,3,1-0,0.12000000000000001,0.132,500,0.566,0.434,replica_s7_e1_e0
7,3,1-1,0.740555127546399,0.528,500,0.764,0.236,replica_s7_e1_e1
9,4,0-0,0.019444872453601072,0.56,500,0.78,0.22,replica_s9_e0_e0
9,4,0-1,0.12000000000000001,0.0,500,0.5,0.5,replica_s9_e0_e1
9,4,1-0,0.12000000000000001,0.052,500,0.526,0.474,replica_s9_e1_e0
9,4,1-1,0.740555127546399,0.528,500,0.764,0.236,replica_s9_e1_e1
